date,scene,category,author_tier,app_version,exposure,effective_view_users,comments,comment_users,author_replies,replied_users,replied_revisit_users,sw_impressions,sw_clicks,l1_search_users,l2_search_users,search_users,order_users,gmv
2026-06-15,搜索,美妆,尾部,v28.1,28291,8801,269,231,133,123,39,10386,527,113,72,185,18,1785
2026-06-15,搜索,美妆,尾部,v28.2,32555,10286,320,275,173,160,48,12137,614,126,82,208,21,2005
2026-06-15,搜索,数码,头部,v28.1,65740,21058,631,543,135,124,40,24849,1317,261,177,438,43,18462
2026-06-15,搜索,数码,头部,v28.2,80209,25125,750,645,162,149,46,29648,1559,315,208,523,53,22712
2026-06-15,搜索,数码,腰部,v28.1,41249,12962,392,337,143,131,41,15295,812,165,109,274,28,12002
2026-06-15,搜索,数码,腰部,v28.2,52039,16566,505,435,201,185,58,19548,1043,206,133,339,34,14594
2026-06-15,搜索,数码,尾部,v28.1,20254,6311,201,173,103,95,29,7447,385,79,50,130,13,5424
2026-06-15,搜索,数码,尾部,v28.2,24060,7501,236,203,122,112,36,8852,467,93,62,155,16,6944
2026-06-15,搜索,家居,头部,v28.1,54488,16911,510,439,107,99,31,19954,1046,213,135,347,36,6020
2026-06-15,搜索,家居,头部,v28.2,66618,21312,673,579,141,130,41,25148,1335,261,173,434,43,7339
2026-06-15,搜索,家居,腰部,v28.1,34793,10820,344,296,132,121,38,12768,648,137,90,227,23,3931
2026-06-15,搜索,家居,腰部,v28.2,40689,12818,389,334,146,134,41,15126,788,159,107,266,27,4624
2026-06-15,搜索,家居,尾部,v28.1,16257,5105,158,136,79,72,23,6024,320,62,42,103,10,1753
2026-06-15,搜索,家居,尾部,v28.2,20635,6427,197,170,99,91,28,7584,402,81,52,133,13,2261
2026-06-15,搜索,服饰,头部,v28.1,76162,23693,732,629,154,141,44,27957,1478,290,193,483,48,6062
2026-06-15,搜索,服饰,头部,v28.2,99007,30687,952,819,209,193,58,36211,1838,380,247,627,64,8155
2026-06-15,搜索,服饰,腰部,v28.1,50531,15681,472,406,181,167,51,18503,986,195,131,326,33,4255
2026-06-15,搜索,服饰,腰部,v28.2,58203,18326,550,473,212,195,59,21624,1134,234,154,388,40,5086
2026-06-15,搜索,服饰,尾部,v28.1,22734,7055,213,183,113,104,31,8325,427,89,57,145,14,1848
2026-06-15,搜索,服饰,尾部,v28.2,28030,8821,266,229,133,122,37,10409,525,109,70,179,18,2329
2026-06-15,关注,美妆,头部,v28.1,73581,23080,739,636,162,149,45,27234,1433,280,194,474,47,4565
2026-06-15,关注,美妆,头部,v28.2,89493,28740,866,744,194,179,55,33913,1733,368,240,608,63,5999
2026-06-15,关注,美妆,腰部,v28.1,45396,14214,424,365,158,146,43,16773,886,183,117,300,31,2980
2026-06-15,关注,美妆,腰部,v28.2,54692,16926,539,463,207,191,61,19972,1067,217,137,354,37,3438
2026-06-15,关注,美妆,尾部,v28.1,20922,6584,207,178,113,104,33,7769,399,84,53,137,13,1272
2026-06-15,关注,美妆,尾部,v28.2,26417,8224,259,223,140,129,39,9705,515,102,67,170,18,1710
2026-06-15,关注,数码,头部,v28.1,50679,15799,494,424,107,98,31,18642,948,192,127,319,32,13722
2026-06-15,关注,数码,头部,v28.2,65747,21082,660,567,148,136,43,24877,1316,266,176,442,43,18578
2026-06-15,关注,数码,腰部,v28.1,32645,10106,316,272,118,108,34,11925,632,128,83,211,21,9276
2026-06-15,关注,数码,腰部,v28.2,40457,12637,392,337,143,132,41,14911,763,159,102,261,26,11300
2026-06-15,关注,数码,尾部,v28.1,16014,5077,154,133,76,70,21,5991,314,65,42,107,11,4702
2026-06-15,关注,数码,尾部,v28.2,18862,5990,192,166,101,93,29,7068,377,74,50,124,13,5575
2026-06-15,关注,家居,头部,v28.1,44739,14050,424,365,89,82,26,16579,864,176,116,292,30,4955
2026-06-15,关注,家居,头部,v28.2,52148,16339,526,452,115,105,32,19280,997,198,135,333,33,5571
2026-06-15,关注,家居,腰部,v28.1,26290,8344,263,226,98,90,29,9846,498,102,67,169,17,2838
2026-06-15,关注,家居,腰部,v28.2,34215,10692,320,275,119,109,35,12616,655,131,86,218,22,3675
2026-06-15,关注,家居,尾部,v28.1,12708,4054,129,111,69,63,20,4784,251,52,34,86,9,1476
2026-06-15,关注,家居,尾部,v28.2,15359,4778,149,128,79,73,23,5638,294,59,40,99,10,1662
2026-06-15,关注,服饰,头部,v28.1,59964,19205,573,493,122,113,34,22662,1209,246,154,400,41,5333
2026-06-15,关注,服饰,头部,v28.2,78378,24754,754,649,171,157,48,29210,1476,316,200,515,52,6636
2026-06-15,关注,服饰,腰部,v28.1,37341,11981,364,313,135,124,37,14137,715,150,98,248,26,3248
2026-06-15,关注,服饰,腰部,v28.2,48209,15040,449,386,168,154,48,17747,934,187,121,308,32,4000
2026-06-15,关注,服饰,尾部,v28.1,18780,5930,178,153,89,81,25,6997,358,76,48,124,13,1663
2026-06-15,关注,服饰,尾部,v28.2,22236,7015,224,192,114,104,33,8278,428,87,58,145,15,1879
2026-06-16,推荐,美妆,头部,v28.1,217464,68472,2116,1820,486,448,135,80797,4102,834,549,1383,137,13035
2026-06-16,推荐,美妆,头部,v28.2,278212,87598,2633,2265,599,551,166,103365,5452,1095,740,1835,184,17950
2026-06-16,推荐,美妆,腰部,v28.1,138287,43927,1308,1125,517,475,144,51834,2729,551,354,904,92,8813
2026-06-16,推荐,美妆,腰部,v28.2,164898,52371,1656,1424,657,604,182,61798,3207,638,428,1066,110,10511
2026-06-16,推荐,美妆,尾部,v28.1,67978,21447,686,590,347,319,99,25307,1287,272,173,445,45,4313
2026-06-16,推荐,美妆,尾部,v28.2,82827,26490,800,688,421,388,119,31258,1619,341,223,564,58,5488
2026-06-16,推荐,数码,头部,v28.1,156996,49694,1587,1365,344,316,101,58639,3094,610,417,1027,101,43566
2026-06-16,推荐,数码,头部,v28.2,201406,64018,1933,1662,438,403,121,75541,3955,814,514,1328,137,58024
2026-06-16,推荐,数码,腰部,v28.1,102275,32243,1033,888,407,374,118,38047,1928,397,264,661,69,28932
2026-06-16,推荐,数码,腰部,v28.2,116478,36973,1180,1015,457,421,131,43628,2241,459,302,761,75,32078
2026-06-16,推荐,数码,尾部,v28.1,49407,15296,472,406,250,230,69,18049,947,190,122,312,32,13767
2026-06-16,推荐,数码,尾部,v28.2,57414,18030,545,468,290,267,80,21275,1109,227,150,377,38,16602
2026-06-16,推荐,家居,头部,v28.1,132011,41634,1336,1149,289,266,83,49129,2528,506,350,856,89,15211
2026-06-16,推荐,家居,头部,v28.2,165599,51642,1555,1337,339,312,100,60938,3145,634,421,1054,106,17431
2026-06-16,推荐,家居,腰部,v28.1,83793,25875,776,668,288,265,83,30532,1559,328,216,544,57,9512
2026-06-16,推荐,家居,腰部,v28.2,103421,31982,992,853,377,347,106,37739,1938,388,262,651,65,10857
2026-06-16,推荐,家居,尾部,v28.1,39510,12420,376,323,193,178,56,14655,772,155,103,258,27,4458
2026-06-16,推荐,家居,尾部,v28.2,50362,15622,486,418,245,225,69,18434,943,196,129,325,33,5381
2026-06-16,推荐,服饰,头部,v28.1,184353,56945,1814,1560,412,379,117,67195,3555,703,462,1165,114,14611
2026-06-16,推荐,服饰,头部,v28.2,227516,70313,2114,1818,462,425,132,82970,4396,861,584,1444,146,18337
2026-06-16,推荐,服饰,腰部,v28.1,113286,35781,1117,961,420,386,118,42222,2237,445,301,746,77,9695
2026-06-16,推荐,服饰,腰部,v28.2,140596,44676,1420,1221,552,508,154,52718,2801,565,366,931,95,12155
2026-06-16,推荐,服饰,尾部,v28.1,54570,16848,541,465,275,253,76,19881,1023,210,137,348,34,4467
2026-06-16,推荐,服饰,尾部,v28.2,71671,22368,708,609,377,347,105,26395,1395,286,186,472,48,6029
2026-06-16,搜索,美妆,头部,v28.1,91563,29291,882,759,196,181,54,34564,1746,359,246,605,60,5741
2026-06-16,搜索,美妆,头部,v28.2,115059,36504,1094,941,252,232,72,43074,2248,452,292,744,77,7383
2026-06-16,搜索,美妆,腰部,v28.1,55737,17623,533,459,194,179,57,20796,1088,217,144,361,36,3483
2026-06-16,搜索,美妆,腰部,v28.2,70571,22560,676,582,260,240,74,26621,1380,280,182,462,46,4360
2026-06-16,搜索,美妆,尾部,v28.1,28455,8909,270,232,141,130,40,10513,561,112,74,186,19,1792
2026-06-16,搜索,美妆,尾部,v28.2,33838,10625,319,274,170,156,49,12537,659,135,88,223,22,2138
2026-06-16,搜索,数码,头部,v28.1,64736,20174,617,530,141,129,39,23805,1207,252,166,418,42,18221
2026-06-16,搜索,数码,头部,v28.2,83790,26634,829,713,179,165,49,31428,1596,341,224,565,56,24275
2026-06-16,搜索,数码,腰部,v28.1,41167,13173,405,348,149,137,41,15544,797,163,111,274,28,11895
2026-06-16,搜索,数码,腰部,v28.2,51546,16031,480,413,188,173,52,18917,987,206,133,339,34,14774
2026-06-16,搜索,数码,尾部,v28.1,20210,6396,194,167,100,92,29,7547,387,78,52,130,13,5730
2026-06-16,搜索,数码,尾部,v28.2,23847,7459,236,203,127,117,35,8801,460,96,61,157,16,6617
2026-06-16,搜索,家居,头部,v28.1,57068,17750,541,465,124,114,36,20945,1098,220,145,365,37,6177
2026-06-16,搜索,家居,头部,v28.2,68134,21738,700,602,157,144,45,25650,1334,274,183,457,45,7647
2026-06-16,搜索,家居,腰部,v28.1,33504,10504,324,279,126,116,37,12394,657,130,88,218,22,3675
2026-06-16,搜索,家居,腰部,v28.2,44027,13992,417,358,153,140,43,16511,866,179,114,292,29,4740
2026-06-16,搜索,家居,尾部,v28.1,16834,5289,163,140,83,76,24,6240,330,67,44,111,11,1871
2026-06-16,搜索,家居,尾部,v28.2,20706,6572,200,172,106,98,31,7755,407,82,53,134,14,2359
2026-06-16,搜索,服饰,头部,v28.1,76882,23933,737,633,170,157,49,28241,1468,301,197,499,49,6177
2026-06-16,搜索,服饰,头部,v28.2,100471,31022,963,828,213,196,63,36606,1943,396,254,649,66,8319
2026-06-16,搜索,服饰,腰部,v28.1,48715,15617,473,407,182,167,53,18428,933,201,127,328,34,4354
2026-06-16,搜索,服饰,腰部,v28.2,61892,19877,620,533,236,217,65,23455,1200,248,164,411,41,5193
2026-06-16,搜索,服饰,尾部,v28.1,24355,7539,225,194,114,105,32,8896,453,93,62,155,16,2057
2026-06-16,搜索,服饰,尾部,v28.2,29960,9503,301,259,151,139,42,11214,591,122,77,198,20,2632
2026-06-16,关注,美妆,头部,v28.1,74952,23677,718,618,157,144,46,27939,1477,303,193,496,51,4842
2026-06-16,关注,美妆,头部,v28.2,88658,27422,875,752,198,182,57,32358,1700,347,228,575,59,5598
2026-06-16,关注,美妆,腰部,v28.1,43785,13676,433,372,161,148,45,16137,818,173,110,283,28,2711
2026-06-16,关注,美妆,腰部,v28.2,57410,17785,567,487,208,192,58,20987,1059,220,145,365,37,3621
2026-06-16,关注,美妆,尾部,v28.1,22746,7199,215,185,115,106,32,8495,441,92,59,151,15,1454
2026-06-16,关注,美妆,尾部,v28.2,27871,8784,262,225,134,123,38,10365,548,112,70,182,19,1783
2026-06-16,关注,数码,头部,v28.1,54777,17532,553,476,126,116,37,20688,1104,213,146,360,36,15252
2026-06-16,关注,数码,头部,v28.2,62220,19566,589,506,126,116,37,23088,1171,244,159,403,40,17079
2026-06-16,关注,数码,腰部,v28.1,31587,10096,311,268,120,110,35,11913,614,129,82,212,21,9007
2026-06-16,关注,数码,腰部,v28.2,38630,11995,375,322,142,131,42,14154,744,151,100,251,25,10955
2026-06-16,关注,数码,尾部,v28.1,15277,4874,154,133,79,72,22,5752,300,61,40,101,10,4553
2026-06-16,关注,数码,尾部,v28.2,19296,6183,186,160,99,91,29,7296,384,77,51,128,13,5485
2026-06-16,关注,家居,头部,v28.1,43846,14048,423,364,93,86,28,16576,888,174,113,286,29,4955
2026-06-16,关注,家居,头部,v28.2,51919,16257,484,416,111,102,31,19183,1006,198,133,331,33,5561
2026-06-16,关注,家居,腰部,v28.1,26416,8467,255,220,94,87,27,9991,512,104,71,174,18,3000
2026-06-16,关注,家居,腰部,v28.2,33950,10731,330,284,123,113,34,12662,640,135,90,226,22,3786
2026-06-16,关注,家居,尾部,v28.1,13152,4219,135,116,73,68,21,4978,265,54,35,89,9,1514
2026-06-16,关注,家居,尾部,v28.2,16545,5308,159,137,80,74,24,6264,323,64,43,107,11,1839
2026-06-16,关注,服饰,头部,v28.1,62791,20003,615,529,135,125,37,23603,1213,247,160,407,40,5164
2026-06-16,关注,服饰,头部,v28.2,79094,25369,801,689,173,159,49,29935,1559,321,207,528,53,6725
2026-06-16,关注,服饰,腰部,v28.1,38034,12007,384,330,142,131,40,14168,735,147,97,244,24,3068
2026-06-16,关注,服饰,腰部,v28.2,47053,14593,445,383,170,156,49,17219,903,188,119,307,31,3960
2026-06-16,关注,服饰,尾部,v28.1,17986,5562,170,146,91,84,25,6563,350,70,46,116,12,1503
2026-06-16,关注,服饰,尾部,v28.2,22598,7248,219,188,118,108,34,8553,436,92,58,151,15,1910
2026-06-17,推荐,美妆,头部,v28.1,226512,71073,2250,1935,496,456,142,83866,4327,891,598,1488,152,14365
2026-06-17,推荐,美妆,头部,v28.2,278701,89418,2672,2298,595,547,173,105513,5631,1146,736,1883,191,18282
2026-06-17,推荐,美妆,腰部,v28.1,141367,44973,1349,1160,536,493,158,53068,2741,573,365,938,95,9125
2026-06-17,推荐,美妆,腰部,v28.2,177341,55182,1643,1413,648,596,188,65115,3455,691,464,1155,119,11594
2026-06-17,推荐,美妆,尾部,v28.1,67632,21394,654,563,355,327,104,25245,1315,266,180,445,44,4125
2026-06-17,推荐,美妆,尾部,v28.2,80126,25744,769,662,418,384,122,30378,1603,317,213,530,53,5036
2026-06-17,推荐,数码,头部,v28.1,169503,54087,1677,1442,353,324,97,63822,3322,683,444,1126,116,50419
2026-06-17,推荐,数码,头部,v28.2,200715,62096,1931,1660,411,378,114,73273,3744,778,515,1293,129,56083
2026-06-17,推荐,数码,腰部,v28.1,100034,31385,965,830,377,347,104,37034,1938,387,259,646,67,29080
2026-06-17,推荐,数码,腰部,v28.2,124738,40002,1275,1097,497,457,136,47203,2452,496,333,829,85,35795
2026-06-17,推荐,数码,尾部,v28.1,48548,15183,477,410,256,236,70,17915,940,189,122,310,32,13801
2026-06-17,推荐,数码,尾部,v28.2,58848,18455,550,473,285,262,80,21777,1163,227,147,374,37,16200
2026-06-17,推荐,家居,头部,v28.1,136932,43254,1300,1118,300,276,87,51039,2619,543,356,899,93,15399
2026-06-17,推荐,家居,头部,v28.2,161336,50441,1555,1337,349,321,98,59520,3099,634,419,1053,106,17599
2026-06-17,推荐,家居,腰部,v28.1,83743,26905,841,723,319,294,91,31748,1637,339,217,555,56,9318
2026-06-17,推荐,家居,腰部,v28.2,100794,32052,1030,886,409,376,113,37822,1934,408,268,676,66,11168
2026-06-17,推荐,家居,尾部,v28.1,40875,12988,414,356,216,199,61,15326,807,161,107,268,27,4542
2026-06-17,推荐,家居,尾部,v28.2,51092,16162,500,430,253,232,72,19071,965,198,131,329,34,5704
2026-06-17,推荐,服饰,头部,v28.1,190252,58812,1755,1510,373,343,108,69398,3530,736,497,1233,127,16315
2026-06-17,推荐,服饰,头部,v28.2,243412,76068,2274,1956,480,441,142,89761,4713,972,628,1600,157,20482
2026-06-17,推荐,服饰,腰部,v28.1,123439,39211,1251,1075,464,427,128,46269,2335,486,330,816,81,10455
2026-06-17,推荐,服饰,腰部,v28.2,142109,44052,1360,1169,531,489,155,51981,2653,542,367,909,93,11846
2026-06-17,推荐,服饰,尾部,v28.1,58809,18735,571,491,282,260,81,22107,1156,233,152,385,39,5048
2026-06-17,推荐,服饰,尾部,v28.2,69425,21707,663,570,353,325,100,25614,1345,277,178,455,47,5979
2026-06-17,搜索,美妆,头部,v28.1,97591,30249,904,777,194,179,55,35694,1829,376,241,618,62,5926
2026-06-17,搜索,美妆,头部,v28.2,121073,38396,1174,1010,246,226,69,45308,2359,473,318,791,80,7556
2026-06-17,搜索,美妆,腰部,v28.1,60393,19073,575,494,221,203,63,22506,1185,242,160,401,41,3959
2026-06-17,搜索,美妆,腰部,v28.2,73268,22757,680,584,265,244,74,26854,1391,291,187,478,49,4759
2026-06-17,搜索,美妆,尾部,v28.1,27523,8547,255,219,128,118,36,10085,516,104,72,176,18,1740
2026-06-17,搜索,美妆,尾部,v28.2,34947,11121,354,304,181,166,52,13123,692,142,90,232,23,2209
